epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3572,1.85559,3.55491,1.71834,0.23342,0.30395,0.18135,0.07006,2.19845,2.62822,2.15052,0.000367085,0.000367085,0.000367085
2,85.8425,1.75027,2.49264,1.61798,0.0026,0.20011,0.00267,0.00078,2.96976,inf,24.9243,0.000731334,0.000731334,0.000731334
3,128.892,1.74801,2.33394,1.60066,0.10239,0.38313,0.08774,0.02646,2.20671,3.13963,2.194,0.00108947,0.00108947,0.00108947
4,172.996,1.69692,2.23054,1.52985,0.01108,0.027,0.01027,0.00415,3.28177,14.315,2.72884,0.0010835,0.0010835,0.0010835
5,217.16,1.70457,2.19629,1.56487,0.20427,0.49671,0.27674,0.11172,1.91107,2.9267,1.85347,0.00107434,0.00107434,0.00107434
6,264.068,1.61794,2.08431,1.48075,0.39271,0.51792,0.29306,0.1083,1.82817,3.52378,1.84955,0.00106517,0.00106517,0.00106517
7,307.421,1.60635,2.03574,1.47654,0.26484,0.75558,0.49898,0.23416,1.56147,1.87868,1.58579,0.00105601,0.00105601,0.00105601
8,353.087,1.59196,1.97222,1.49465,0.45869,0.62536,0.55442,0.28674,1.49059,1.987,1.59486,0.00104684,0.00104684,0.00104684
9,399.466,1.58615,1.92574,1.50829,0.29397,0.61776,0.3803,0.19293,1.56554,1.94024,1.6445,0.00103767,0.00103767,0.00103767
10,443.133,1.5854,1.9331,1.46867,0.34985,0.53047,0.38137,0.18311,1.74698,1.98176,1.66078,0.00102851,0.00102851,0.00102851
11,486.394,1.56052,1.93268,1.45606,0.30663,0.7316,0.38318,0.20089,1.4763,1.8613,1.49984,0.00101934,0.00101934,0.00101934
12,530.096,1.54249,1.88733,1.45139,0.3993,0.6304,0.51994,0.28328,1.45729,1.65263,1.54108,0.00101018,0.00101018,0.00101018
13,572.793,1.55268,1.84859,1.44194,0.32809,0.75439,0.50453,0.26647,1.5349,1.82572,1.54452,0.00100101,0.00100101,0.00100101
14,616.008,1.53681,1.85574,1.45549,0.38333,0.63747,0.45338,0.24307,1.58959,1.87608,1.55535,0.000991845,0.000991845,0.000991845
15,658.91,1.55019,1.80261,1.42474,0.4717,0.72189,0.62127,0.32501,1.53193,1.51626,1.57629,0.000982679,0.000982679,0.000982679
16,705.438,1.50782,1.75685,1.4305,0.58748,0.62058,0.58887,0.31238,1.4789,1.69091,1.5433,0.000973514,0.000973514,0.000973514
17,748.803,1.5058,1.78749,1.42337,0.74595,0.54002,0.67892,0.38507,1.46946,1.43848,1.51932,0.000964348,0.000964348,0.000964348
18,798.405,1.52276,1.7683,1.43207,0.45414,0.75496,0.62197,0.32739,1.50848,1.52511,1.54492,0.000955182,0.000955182,0.000955182
19,840.945,1.51506,1.73525,1.41823,0.47081,0.75466,0.66878,0.36097,1.5421,1.45291,1.58669,0.000946016,0.000946016,0.000946016
20,884.115,1.51225,1.70899,1.41606,0.53337,0.75778,0.65742,0.31668,1.5323,1.43772,1.52988,0.000936851,0.000936851,0.000936851
21,926.986,1.51495,1.71099,1.42676,0.45134,0.73465,0.6488,0.35481,1.47464,1.41398,1.52203,0.000927685,0.000927685,0.000927685
22,970.018,1.52465,1.69651,1.41792,0.46487,0.80645,0.61273,0.31566,1.50917,1.6521,1.5354,0.000918519,0.000918519,0.000918519
23,1012.72,1.50982,1.72636,1.42515,0.45029,0.72675,0.57243,0.31518,1.43236,1.65233,1.5199,0.000909353,0.000909353,0.000909353
24,1055.62,1.48192,1.67042,1.39359,0.48651,0.83012,0.65644,0.36936,1.4777,1.59345,1.54716,0.000900188,0.000900188,0.000900188
25,1098.55,1.52045,1.67239,1.42302,0.5054,0.71584,0.69364,0.40736,1.37735,1.38491,1.4451,0.000891022,0.000891022,0.000891022
26,1145.23,1.49175,1.64356,1.4032,0.38499,0.68496,0.50306,0.27604,1.65414,1.86806,1.61248,0.000881856,0.000881856,0.000881856
27,1189.27,1.47348,1.6723,1.4093,0.37877,0.20546,0.15685,0.06056,2.35649,3.27334,2.50793,0.000872691,0.000872691,0.000872691
28,1231.97,1.45249,1.64401,1.39343,0.48563,0.62033,0.59606,0.31551,1.52357,1.5243,1.52613,0.000863525,0.000863525,0.000863525
29,1274.76,1.44673,1.61285,1.39866,0.52876,0.83322,0.69137,0.39568,1.44763,1.2967,1.50597,0.000854359,0.000854359,0.000854359
30,1317.88,1.45035,1.61387,1.39119,0.51839,0.77636,0.67768,0.36854,1.4989,1.42636,1.5543,0.000845193,0.000845193,0.000845193
31,1361.07,1.47861,1.60568,1.39433,0.56834,0.77598,0.68549,0.38186,1.4626,1.29244,1.53028,0.000836027,0.000836027,0.000836027
32,1404.24,1.44709,1.59013,1.39122,0.55064,0.79301,0.71029,0.40663,1.43087,1.27245,1.51124,0.000826862,0.000826862,0.000826862
33,1447.4,1.47128,1.5695,1.40128,0.41376,0.76314,0.6156,0.34579,1.48054,1.58693,1.54949,0.000817696,0.000817696,0.000817696
34,1490.43,1.477,1.53183,1.40206,0.42543,0.74248,0.60748,0.3501,1.44957,1.65638,1.50637,0.00080853,0.00080853,0.00080853
35,1533.24,1.44898,1.55301,1.38163,0.5033,0.77816,0.64123,0.35684,1.50045,1.41912,1.52656,0.000799365,0.000799365,0.000799365
36,1576.05,1.43553,1.53285,1.37593,0.6529,0.70221,0.69313,0.38641,1.51713,1.36009,1.51811,0.000790199,0.000790199,0.000790199
37,1618.89,1.43023,1.55462,1.38181,0.59849,0.84717,0.71916,0.40327,1.43034,1.31669,1.4731,0.000781033,0.000781033,0.000781033
38,1661.84,1.44719,1.52013,1.38238,0.55471,0.7807,0.73858,0.41803,1.42483,1.29337,1.51587,0.000771867,0.000771867,0.000771867
39,1708.38,1.43097,1.53773,1.37156,0.60146,0.72267,0.69871,0.4092,1.39844,1.32283,1.46167,0.000762702,0.000762702,0.000762702
